company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
EssarOil,12,45,80,45,436
Goodricke Group,777,578,728,911,174
Hindustan Unilever,31,20,103,185,3
EssarShipping,339,965,67,91,666
GoodyearIndia,420,299,481,710,33
Hindustan Zinc,52,10,11,39,105
Essel Propack,321,245,375,382,341
Govind Rubber,949,775,918,960,761
Hind National Glass,320,937,559,241,840
EsterInd,621,729,669,650,577
GP Petroleums,948,718,825,973,517
Hitachi Home,413,345,629,726,156
Eveready Ind,491,444,424,565,311
GPT Infraprjects,953,727,788,771,812
The Hi-Tech Gears,913,611,796,915,255
EverestInd,492,514,622,663,355
Granules India,480,317,525,548,362
Hitech Plast,888,700,802,925,327
EverestKanto Cylinder,858,893,518,501,891
Graphite India,396,404,207,339,268
Honda Siel Power,756,491,617,844,112
Excel Crop Care,573,393,598,765,157
Grasim Inds,30,41,40,44,237
Honeywell Automation,362,314,341,557,35
Excel Ind,857,478,760,874,351
Grauer& Weil,885,522,722,860,313
Hotel Leela Venture,685,960,973,178,947
Exide Ind,90,86,105,94,346
Gravita India,842,705,844,923,672
HDIL,456,188,50,86,587
FAG Bearings,414,233,291,486,85
G E Shipping,212,80,63,78,398
HSIL,354,325,261,337,379
FDC,608,238,324,544,165
Greaves Cotton,408,328,360,578,37
Hubtown,681,764,213,233,790
Fedders Lloyd,467,487,554,533,535
Greenlam Inds,613,602,721,668,446
Huhtamaki PPL,501,382,460,674,144
Federal-Mogul Goetze,486,531,545,617,409
Greenply Ind,428,257,487,573,180
I G Petro,534,678,698,785,250
Ferro Alloys,772,839,817,594,892
Grindwell Norton,530,293,429,653,101
Idea Cellular,33,23,28,32,422
FACT,348,957,989,762,531
GRM Overseas,820,725,917,941,835
IFB Agro Ind,778,630,717,916,121
FIEM Ind,659,472,727,834,227
GTLInfrastructure,720,968,510,172,942
IFB Ind,427,438,561,743,127
FilatexIndia,430,670,775,679,705
GTL,378,981,986,298,906
IFGLRefractories,672,422,604,741,240
Financial Technologies,572,113,132,243,757
GTN Ind,957,809,938,924,862
Igarashi Motors India,951,443,687,861,427
FinolexCables,297,200,271,441,91
GujaratAlkalies,358,187,171,316,218
IL&FS Engg,255,804,840,289,890
Firstsource Solutions,248,182,176,262,378
GujaratFluorochem,142,89,119,147,484
ImpexFerro Tech,848,876,880,778,980
Flexituff International,519,606,568,518,673
GujaratFoils,865,702,872,817,917
India Cements,162,786,128,142,608
Forbes & Co,217,524,564,373,540
GujaratInd Power,497,256,198,307,403
India Glycols,287,890,650,299,905
IMPAL,835,534,723,912,150
JKPaper,303,818,377,271,775
Lakshmi Prec Screws,903,737,854,781,839
India Steel Works,816,750,779,859,707
JKTyre Ind,125,138,244,196,411
Lanco Infratech,95,994,995,40,886
India Tourism DevCorp,832,529,651,824,501
JMCProjects,295,827,536,282,860
Larsen & Toubro,11,17,17,8,675
Indiabulls Real Estate,192,172,66,79,855
JMT Auto,910,671,785,851,582
Liberty Shoes,811,619,804,878,451
Indian Acrylics,808,816,903,984,621
JSW Energy,96,51,62,70,476
Linde India,449,714,248,255,665
Indian Hotels,179,952,238,123,722
JSW Steel,20,40,30,20,471
Lloyd Electric,330,323,383,412,600
Indian Hume Pipe,577,476,658,669,528
JubilantFoodWorks,345,280,419,645,15
Lloyds Metals,754,822,892,909,477
IMFAL,475,731,351,336,710
JubilantIndustries,639,902,907,758,850
Loyal Textiles,464,628,812,622,565
Indian Oil Corp,1,15,4,5,62
JubilantLife Sciences,143,873,150,133,537
LumaxAuto Techno,636,457,680,864,162
Indo CountInd,380,240,633,591,235
JullundurMotorAgency,963,640,847,983,166
LumaxInd,522,622,773,803,329
Indo Rama Synth,258,821,463,494,334
JustDial,760,246,411,635,233
Lupin,66,31,58,106,52
Indoco Remedies,629,333,468,658,206
Jyothy Lab,443,260,374,414,416
Lycos Internet,359,134,221,399,147
Indraprastha Gas,210,110,175,325,47
Jyoti Structures,246,954,739,236,946
Lypsa Gems & Jewellery,911,734,920,993,655
Indraprastha Medical,713,523,751,899,210
KCP,532,437,520,502,406
M M Forgings,845,433,700,763,356
