date,current_price,actual_future,pred_future,actual_signal,pred_signal,correct
2026-01-15,3135.5,3150.4,3119.8,HOLD,HOLD,True
2026-01-16,3206.7,3162.5,3108.46,SELL,SELL,True
2026-01-19,3163.6,3158.0,3118.28,HOLD,SELL,False
2026-01-20,3102.3,3200.1,3117.7,BUY,HOLD,False
2026-01-21,3122.6,3144.4,3115.0,HOLD,HOLD,True
2026-01-22,3150.4,3123.9,3120.78,HOLD,HOLD,True
2026-01-23,3162.5,3169.6,3131.92,HOLD,HOLD,True
2026-01-27,3158.0,3225.3,3144.61,BUY,HOLD,False
2026-01-28,3200.1,2999.1,3152.1,SELL,SELL,True
2026-01-29,3144.4,2991.5,3162.56,SELL,HOLD,False
2026-01-30,3123.9,2941.6,3172.19,SELL,BUY,False
2026-02-02,3169.6,2948.2,3180.97,SELL,HOLD,False
2026-02-03,3225.3,2984.6,3190.06,SELL,SELL,True
2026-02-04,2999.1,2909.8,3155.63,SELL,BUY,False
2026-02-05,2991.5,2750.1,3090.22,SELL,BUY,False
2026-02-06,2941.6,2692.2,2994.74,SELL,BUY,False
2026-02-09,2948.2,2706.6,2933.48,SELL,HOLD,False
2026-02-10,2984.6,2717.4,2916.36,SELL,SELL,True
2026-02-11,2909.8,2694.9,2917.07,SELL,HOLD,False
2026-02-12,2750.1,2677.9,2866.58,SELL,BUY,False
2026-02-13,2692.2,2686.2,2757.11,HOLD,BUY,False
2026-02-16,2706.6,2676.3,2670.98,SELL,SELL,True
2026-02-17,2717.4,2573.7,2624.85,SELL,SELL,True
2026-02-18,2694.9,2629.3,2600.65,SELL,SELL,True
2026-02-19,2677.9,2647.7,2590.36,SELL,SELL,True
2026-02-20,2686.2,2637.4,2586.2,SELL,SELL,True
2026-02-23,2676.3,2613.5,2579.08,SELL,SELL,True
2026-02-24,2573.7,2587.8,2563.71,HOLD,HOLD,True
2026-02-25,2629.3,2578.8,2549.41,SELL,SELL,True
2026-02-26,2647.7,2557.6,2538.86,SELL,SELL,True
2026-02-27,2637.4,2527.4,2530.51,SELL,SELL,True
2026-03-02,2613.5,2513.1,2523.85,SELL,SELL,True
2026-03-04,2587.8,2464.9,2518.29,SELL,SELL,True
2026-03-05,2578.8,2442.4,2514.7,SELL,SELL,True
2026-03-06,2557.6,2410.5,2511.78,SELL,SELL,True
2026-03-09,2527.4,2409.2,2509.24,SELL,HOLD,False
2026-03-10,2513.1,2391.7,2506.05,SELL,HOLD,False
2026-03-11,2464.9,2440.8,2502.86,HOLD,BUY,False
2026-03-12,2442.4,2356.0,2499.61,SELL,BUY,False
